character,pinyin,type,meaning,chapter,back_card
法律,fa3lu4,n,law,1,fa3lu4 n law 1
缺点,que1dian3,n,shortcoming,1,que1dian3 n shortcoming 1
接受,jie1shou4,v,to accept,1,jie1shou4 v to accept 1
羡慕,xian4mu4,v,"to envy, to admire",1,"xian4mu4 v to envy, to admire 1"
爱情,ai4qing2,n,love,1,ai4qing2 n love 1
星星,xing1xing,n,star,1,xing1xing n star 1
加班,jia1ban1,v,to work overtime,1,jia1ban1 v to work overtime 1
够,gou4,v,to be enough,1,gou4 v to be enough 1
亮,liang4,v,"to shine, to be lit",1,"liang4 v to shine, to be lit 1"
自然,zi4ran2,adv,"naturally, certainly",1,"zi4ran2 adv naturally, certainly 1"
原因,yuan2yin1 ,n,reason,1,yuan2yin1  n reason 1
互相,hu4xiang1,adv,mutually,1,hu4xiang1 adv mutually 1
吸引,xi1yin3,v,attract,1,xi1yin3 v attract 1
幽默,you1mo4,adj,humourous,1,you1mo4 adj humourous 1
脾气,pi2qi,n,"temper, disposition",1,"pi2qi n temper, disposition 1"
感动,gan3dong4,v,"to touch, to move",1,"gan3dong4 v to touch, to move 1"
浪漫,lang4man4,adj,romantic,1,lang4man4 adj romantic 1
即使,ji2shi3,conj,even if,1,ji2shi3 conj even if 1
生活,sheng1huo2,n.v,"life, to live",1,"sheng1huo2 n.v life, to live 1"
刚,gang1,adv,"just, not long",1,"gang1 adv just, not long 1"
印象,yin4xiang4,n,impression,1,yin4xiang4 n impression 1
深,shen1,adj,deep,1,shen1 adj deep 1
熟悉,shu2xi,v,to be familiar with,1,shu2xi v to be familiar with 1
不仅,bu4jin3,conj,not only,1,bu4jin3 conj not only 1
性格,xin4ge2,n,"character, personality",1,"xin4ge2 n character, personality 1"
李进,li3jin4,n,name of a person,1,li3jin4 n name of a person 1
孙月,sun1yue4,n,name of a person,1,sun1yue4 n name of a person 1
俩,lia3,num,"two, both",1,"lia3 num two, both 1"
开玩笑,kai1wan2xiao4,exp,to be kidding,1,kai1wan2xiao4 exp to be kidding 1
从来,cong2lai2,adv,"always, all along",1,"cong2lai2 adv always, all along 1"
最好,zui4hao3,adv,had better,1,zui4hao3 adv had better 1
共同,gong4tong2,adj,"common, shared",1,"gong4tong2 adj common, shared 1"
适合,shi4he2,v,"to suit, to fit",1,"shi4he2 v to suit, to fit 1"
幸福,xing4fu2,adj,happy,1,xing4fu2 adj happy 1
王静,wang2jing4,n,name of a person,1,wang2jing4 n name of a person 1
友谊,you3yi4,n,friendship,2,you3yi4 n friendship 2
丰富,feng1fu4,v,to enrich,2,feng1fu4 v to enrich 2
无聊,wu2liao2,adj,boring,2,wu2liao2 adj boring 2
讨厌,tao3yan2,v,to dislike,2,tao3yan2 v to dislike 2
却,que3,adv,"but, yet",2,"que3 adv but, yet 2"
周围,zhou1wei2,n,surrounding,2,zhou1wei2 n surrounding 2
交流,jiao1liu2,v,to exchange,2,jiao1liu2 v to exchange 2
当,dang1,prep,"when, just at (a time or place)",2,"dang1 prep when, just at (a time or place) 2"
镜子,jing4zi,n,mirror,2,jing4zi n mirror 2
而,er2,conj,"while, yet",2,"er2 conj while, yet 2"
困难,kun4nan,n,difficulty,2,kun4nan n difficulty 2
及时,ji2shi2,adv,in time,2,ji2shi2 adv in time 2
陪,pei2,v,to accompany,2,pei2 v to accompany 2
适应,shi4yin4,v,to get used to,2,shi4yin4 v to get used to 2
理解,li3jie3,v,to understand,2,li3jie3 v to understand 2
真正,zhen1zheng4,adj,"true, real",2,"zhen1zheng4 adj true, real 2"
聚会,ju4hui4,n.v,to have a party,2,ju4hui4 n.v to have a party 2
重新,chong2xin1,adv,"again, once",2,"chong2xin1 adv again, once 2"
尽管,jing3guan3,conj,although,2,jing3guan3 conj although 2
平时,ping2shi2,n,normal times,2,ping2shi2 n normal times 2
逛,guang4,v,to stroll,2,guang4 v to stroll 2
短信,duan3xin4,n,text message,2,duan3xin4 n text message 2
正好,zheng4hao3,adv,just right,2,zheng4hao3 adv just right 2
马克,ma3ke4,n,Mark (first name),2,ma3ke4 n Mark (first name) 2
联系,lian2xi4,v,to contact,2,lian2xi4 v to contact 2
交,jiao1,v,to make (friends),2,jiao1 v to make (friends) 2
专门,zhuan1men2,adv,specially,2,zhuan1men2 adv specially 2
毕业,bi4ye4,v,to graduate,2,bi4ye4 v to graduate 2
麻烦,ma2fan,v,to bother,2,ma2fan v to bother 2
林,lin2,n,Lin (family name),2,lin2 n Lin (family name) 2
张远,zhang1yuan3,n,Name,2,zhang1yuan3 n Name 2
好像,hao3xiang4,adv,as if,2,hao3xiang4 adv as if 2
差不多,cha4buduo1,adv,almost,2,cha4buduo1 adv almost 2
安排,an1pai2,v,to arrange,3,an1pai2 v to arrange 3
首先,shou3xian1,adv,"first, first of all",3,"shou3xian1 adv first, first of all 3"
正式,zheng4shi4,adj,formal,3,zheng4shi4 adj formal 3
留,liu2,v,to leave,3,liu2 v to leave 3
其次,qi2ci4,adv,"second, next",3,"qi2ci4 adv second, next 3"
诚实,cheng2shi2,adj,honest,3,cheng2shi2 adj honest 3
改变,gai3bian4,v,to change,3,gai3bian4 v to change 3
准时,zhun3shi2,adj,"punctual, on time",3,"zhun3shi2 adj punctual, on time 3"
判断,pan4duan4,v,"to judge, to decide",3,"pan4duan4 v to judge, to decide 3"
顾客,gu4ke4,n,"customer, client",3,"gu4ke4 n customer, client 3"
不管,bu4guan3,conj,"no matter (how, what, etc)",3,"bu4guan3 conj no matter (how, what, etc) 3"
与,yu3,prep,with,3,yu3 prep with 3
约会,yue1hui4,v,"to date, to go to an appointment",3,"yue1hui4 v to date, to go to an appointment 3"
感觉,gan3jue2,n,feeling,3,gan3jue2 n feeling 3
咱们,zan2men4,pron,"we, us",3,"zan2men4 pron we, us 3"
律师,lü4shi1,n,lawyer,3,lü4shi1 n lawyer 3
另外,ling4wai4,conj,"besides, in addition",3,"ling4wai4 conj besides, in addition 3"
收入,shou1ru4,n,"income, salary",3,"shou1ru4 n income, salary 3"
信心,xin4xin1,n,confidence,3,xin4xin1 n confidence 3
能力,neng2li4,n,"ability, competence",3,"neng2li4 n ability, competence 3"
招聘,zhao1pin4,v,to recruit,3,zhao1pin4 v to recruit 3
提供,ti2gong1,v,to provide,3,ti2gong1 v to provide 3
面试,mian4shi4,n,interview,3,mian4shi4 n interview 3
负责,fu4ze2,v,to be in charge of,3,fu4ze2 v to be in charge of 3
紧张,jin3zhang1,adj,nervous,3,jin3zhang1 adj nervous 3
应聘,ying4pin4,v,to apply for a job,3,ying4pin4 v to apply for a job 3
材料,cai2liao4,n,"data, material",3,"cai2liao4 n data, material 3"
符合,fu2he2,v,to accord with,3,fu2he2 v to accord with 3
通知,tong1zhi1,v,to inform,3,tong1zhi1 v to inform 3
挺,ting3,adv,"quite, rather",3,"ting3 adv quite, rather 3"
本来,ben3lai2,adv,"originally, at first",3,"ben3lai2 adv originally, at first 3"
专业,zhuan1ye4,n,"major, specialty",3,"zhuan1ye4 n major, specialty 3"
按照,an4zhao4,prep,according to,4,an4zhao4 prep according to 4
成功,cheng2gong1,adj,successful,4,cheng2gong1 adj successful 4
顺利,shun4li4,adj,smooth,4,shun4li4 adj smooth 4
感谢,gan3xie4,v,to thank,4,gan3xie4 v to thank 4
消息,xiao1xi,n,"news, new information",4,"xiao1xi n news, new information 4"
方法,fang1fa3,n,"method, way",4,"fang1fa3 n method, way 4"
工资,gong1zi1,n,"pay, salary",4,"gong1zi1 n pay, salary 4"
知识,zhi1shi,n,knowledge,4,zhi1shi n knowledge 4
不得不,bu4de2bu4,exp,"to have to, to have no choice but",4,"bu4de2bu4 exp to have to, to have no choice but 4"
甚至,shen4zhi4,conj,"even, so far as to",4,"shen4zhi4 conj even, so far as to 4"
责任,ze2ren4,n,"responsibility, duty",4,"ze2ren4 n responsibility, duty 4"
一切,yi2qie4,num,"all, every",4,"yi2qie4 num all, every 4"
奖金,jiang3jin1,n,"money award, bonus",4,"jiang3jin1 n money award, bonus 4"
经验,jing1yan4,n,experience,4,jing1yan4 n experience 4
按时,an4shi4,adj,"on time, on schedule",4,"an4shi4 adj on time, on schedule 4"
并,bing4,adv,used before a negative for emphasis,4,bing4 adv used before a negative for emphasis 4
积累,ji1lei2,v,to accumulate,4,ji1lei2 v to accumulate 4
以为,yi3wei2,v,"to think, to believe",4,"yi3wei2 v to think, to believe 4"
份,fen4,m,particle for jobs 份工作,4,fen4 m particle for jobs 份工作 4
完全,wan2quan2,adv,completely,4,wan2quan2 adv completely 4
赚,zhuan4,v,to earn,4,zhuan4 v to earn 4
调查,diao4cha2,v,"to survey, to investigate",4,"diao4cha2 v to survey, to investigate 4"
原来,yuan2lai2,adj,original,4,yuan2lai2 adj original 4
